arrival,avoidance,oht_count,seed,throughput_per_min,utilization,cycle_avg,cycle_p95,empty_ratio,max_deadlocked,jobs_done
5,1,2,1,5.6,1,150.56,261.009,0.524366,0,27
5,1,2,2,4.53333,1,146.915,257.76,0.520946,0,24
5,1,2,3,5.6,1,153.901,268.157,0.556962,0,27
5,1,2,4,3.46667,1,122.39,251.061,0.505453,0,19
5,1,2,5,4.8,1,142.756,251.011,0.511344,0,24
5,1,2,6,5.33333,1,152.56,271.706,0.5248,0,26
5,1,2,7,2.93333,1,147.137,278.605,0.473598,0,15
5,1,2,8,2.13333,1,124.243,248.811,0.482784,0,14
5,1,4,1,7.73333,1,138.584,263.357,0.484055,0,40
5,1,4,2,8.26667,1,141.594,265.457,0.494684,0,43
5,1,4,3,10.4,1,147.292,268.156,0.537411,0,50
5,1,4,4,9.33333,1,143.618,266.206,0.495498,0,45
5,1,4,5,9.86667,1,148.701,270.055,0.504179,0,49
5,1,4,6,9.33333,1,139.926,265.257,0.506829,0,46
5,1,4,7,7.46667,1,153.481,276.804,0.480547,0,37
5,1,4,8,5.6,1,133.595,271.856,0.491245,0,29
5,1,6,1,14.1333,1,141.916,258.507,0.504164,0,70
5,1,6,2,13.3333,1,141.708,270.005,0.516111,0,66
5,1,6,3,12,1,131.178,259.257,0.545433,0,63
5,1,6,4,13.6,1,147.98,268.555,0.510465,0,67
5,1,6,5,13.6,1,142.025,268.455,0.499255,0,66
5,1,6,6,11.7333,1,137.93,261.107,0.495079,0,62
5,1,6,7,11.7333,1,139.76,261.857,0.51,0,58
5,1,6,8,12,1,146.55,272.104,0.469337,0,58
5,1,8,1,13.6,1,132.491,269.754,0.514189,0,73
5,1,8,2,18.1333,1,146.678,264.455,0.493566,0,86
5,1,8,3,16,1,133.68,262.906,0.513034,0,85
5,1,8,4,16.2667,1,135.519,259.156,0.489662,0,82
5,1,8,5,16.2667,1,139.586,267.854,0.509776,0,83
5,1,8,6,13.8667,1,141.998,268.655,0.513286,0,71
5,1,8,7,16.5333,1,145.623,275.852,0.507568,0,78
5,1,8,8,17.3333,1,141.833,274.102,0.498449,0,85
5,1,10,1,18.6667,1,136.432,264.854,0.488986,0,95
5,1,10,2,19.7333,1,142.134,270.153,0.520731,0,97
5,1,10,3,18.4,1,133.059,260.806,0.518519,0,95
5,1,10,4,17.8667,1,136.517,262.055,0.50384,0,92
